[2025-03-01 18:09:37,553][data.datasets_enzyme][INFO] - Training: 3551 examples
[2025-03-01 18:09:40,069][data.datasets_enzyme][INFO] - Validation: 190 examples
[2025-03-01 18:09:40,133][__main__][INFO] - Training with devices: [0]
[2025-03-01 18:09:59,608][__main__][INFO] - Checkpoints saved to ckpt/se3-fm/inpainting_enzyme/2025-03-01_18-09-34
[2025-03-01 18:09:59,913][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2025-03-01 18:09:59,914][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2025-03-01 18:10:30,378][data.protein_dataloader][INFO] - Created dataloader rank 1 out of 1
[2025-03-01 18:10:31,160][data.so3_utils][INFO] - Data loaded from .cache/cache_igso3_s0.100-1.500-1000_l1000_o1000-3.npz
[2025-03-01 18:10:32,032][torch.nn.parallel.distributed][INFO] - Reducer buckets have been rebuilt in this iteration.
